id met_invertebrate met_primary_producer met_detritus met_heterotrophic_bacteria met_ectotherm_vertebrate met_endotherm_vertebrate mov_swimming mov_other mov_other_nonliving mov_sessile mov_walking log_mass mass_missing
195 1 0 0 0 0 0 1 0 0 0 0 -2.057629772353201 0
196 1 0 0 0 0 0 0 0 0 0 1 -0.9666164588268809 0
197 1 0 0 0 0 0 1 0 0 0 0 -0.423508918890499 0
198 1 0 0 0 0 0 1 0 0 0 0 -0.19691178157891281 0
199 1 0 0 0 0 0 0 0 0 1 0 -2.130627450840593 0
200 1 0 0 0 0 0 1 0 0 0 0 -3.9682684600541736 0
201 0 1 0 0 0 0 0 0 0 1 0 -1.4852398004811773 0
202 0 1 0 0 0 0 0 0 0 1 0 -0.29662263148765045 0
203 1 0 0 0 0 0 0 1 0 1 0 -1.2949577781537747 0
204 1 0 0 0 0 0 0 0 0 0 1 -1.6647427435654683 0
205 1 0 0 0 0 0 0 0 0 0 1 -1.0938320266647146 0
206 0 1 0 0 0 0 0 0 0 1 0 -0.5503519274144819 0
207 1 0 0 0 0 0 1 0 0 0 0 -4.396855627379818 0
208 0 1 0 0 0 0 0 0 0 1 0 -1.2177352562707104 0
209 1 0 0 0 0 0 0 0 0 1 0 -2.108111457671681 0
210 1 0 0 0 0 0 0 1 0 1 0 -1.9900394685294025 0
211 1 0 0 0 0 0 0 0 0 1 0 -1.9271254031890113 0
212 0 0 0 0 1 0 1 0 0 0 0 1.0831441431430522 0
213 1 0 0 0 0 0 0 0 0 1 0 -0.030630688266472594 0
214 0 1 0 0 0 0 0 0 0 1 0 -1.6912435576293672 0
215 0 1 0 0 0 0 0 0 0 1 0 -0.9876690444198533 0
216 0 1 0 0 0 0 0 0 0 1 0 -2.358634972584554 0
217 0 1 0 0 0 0 0 0 0 1 0 -2.05853826065267 0
218 0 1 0 0 0 0 0 0 0 1 0 -0.07682854259513364 0
219 0 1 0 0 0 0 0 0 0 1 0 -0.205149611551385 0
220 1 0 0 0 0 0 1 0 0 0 0 -1.7608256958219215 0
221 1 0 0 0 0 0 1 0 0 0 0 -2.8421505195470984 0
222 1 0 0 0 0 0 1 0 0 0 0 -3.0251614429361915 0
