,food.web,eco.type,node,genus,taxonomy.level,mov.type,met.type,new.mass,species.other,genus.other,met.mov.same,met.same,mov.same,met.other,mov.other
180,Chilean Intertidal Las Cruces,marine,porphyra_spp,porphyra_spp,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
181,Chilean Intertidal Las Cruces,marine,Prionitis decipiens,Prionitis,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
182,Chilean Intertidal Las Cruces,marine,ralfsia spp.,ralfsia,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
183,Chilean Intertidal Las Cruces,marine,rama novazelandensis,rama,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
184,Chilean Intertidal Las Cruces,marine,rhizoclonium cilindricum,rhizoclonium,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
185,Chilean Intertidal Las Cruces,marine,schottera nicaensis,schottera,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
186,Chilean Intertidal Las Cruces,marine,schyzimenia doryophora,schyzimenia,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
187,Chilean Intertidal Las Cruces,marine,scythosiphon lomentaria,scythosiphon,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
188,Chilean Intertidal Las Cruces,marine,Trematocarpus dichotomus,Trematocarpus,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
189,Chilean Intertidal Las Cruces,marine,ulva rigida,ulva,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
190,Chilean Intertidal Las Cruces,marine,ulvella spp.,ulvella,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
191,Chilean Intertidal Las Cruces,marine,petrolisthes punctatus,petrolisthes,species,walking,invertebrate,11.21801142857143,0,0,1,0,0,0,0
192,Chilean Intertidal Las Cruces,marine,petrolisthes spinifrons,petrolisthes,species,walking,invertebrate,11.21801142857143,0,0,1,0,0,0,0
193,Chilean Intertidal Las Cruces,marine,petrolisthes angulosus,petrolisthes,species,walking,invertebrate,11.21801142857143,0,0,1,0,0,0,0
194,Chilean Intertidal Las Cruces,marine,petrolisthes tuberculatus,petrolisthes,species,walking,invertebrate,11.21801142857143,0,0,1,0,0,0,0
195,Chilean Intertidal Las Cruces,marine,petrolisthes tuberculosus,petrolisthes,species,walking,invertebrate,11.21801142857143,0,0,1,0,0,0,0
196,Chilean Intertidal Las Cruces,marine,trimusculus peruvianus,trimusculus,species,walking,invertebrate,11.21801142857143,0,0,1,0,0,0,0
197,Chilean Intertidal Los Molles,marine,adenocystis utricularis,adenocystis,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
